Offense,Crime Type,ZIP,LAT,LNG
Burglary,Non-Violent,77008,29.79260514,-95.40342275
Robbery,Violent,77024,29.7626468,-95.5502119
Theft,Non-Violent,77057,29.72359159,-95.4938026
Theft,Non-Violent,77060,29.94520247,-95.415015
Robbery,Violent,77072,29.70635963,-95.59622416
Theft,Non-Violent,77022,29.82897849,-95.38082655
Auto Theft,Non-Violent,77091,29.84820428,-95.41123331
Auto Theft,Non-Violent,77093,29.86263793,-95.33444465
Burglary,Non-Violent,77035,29.65117961,-95.47017171
Theft,Non-Violent,77009,29.7932694,-95.37376445
Burglary,Non-Violent,77004,29.72757196,-95.34487903
Theft,Non-Violent,77018,29.81766464,-95.4104396
Theft,Non-Violent,77072,29.70880152,-95.56041778
Theft,Non-Violent,77032,29.94629856,-95.33134449
Theft,Non-Violent,77096,29.68584233,-95.46434911
Theft,Non-Violent,77072,29.6890743,-95.59428782
Aggravated Assault,Violent,77060,29.91638452,-95.39346812
Theft,Non-Violent,77063,29.73233269,-95.53926722
Burglary,Non-Violent,77021,29.68506327,-95.35530832
Aggravated Assault,Violent,77028,29.82562291,-95.28241714
Theft,Non-Violent,77057,29.73152324,-95.47907181
Auto Theft,Non-Violent,77054,29.67970059,-95.42565244
Theft,Non-Violent,77055,29.79864134,-95.47345854
Theft,Non-Violent,77007,29.77239729,-95.43039026
Auto Theft,Non-Violent,77070,29.96340414,-95.54983635
Burglary,Non-Violent,77598,29.55649468,-95.14904935
Theft,Non-Violent,77036,29.7177124,-95.51355517
Burglary,Non-Violent,77093,29.83007956,-95.345377
Theft,Non-Violent,77029,29.7708077,-95.22069766
Theft,Non-Violent,77099,29.67508252,-95.58728455
Burglary,Non-Violent,77028,29.83796482,-95.27938685
Burglary,Non-Violent,77079,29.77669245,-95.59593553
Theft,Non-Violent,77058,29.55888044,-95.11056409
Theft,Non-Violent,77081,29.72535266,-95.46818456
Theft,Non-Violent,77546,29.54324267,-95.1458834
Theft,Non-Violent,77063,29.73718358,-95.5394663
Burglary,Non-Violent,77012,29.71017054,-95.28703337
Theft,Non-Violent,77054,29.68476834,-95.41240774
